Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
CVS #1615,1600 MAIN ST.,DICKSON CITY,PA,18519,"LACKAWANNA,PA",5703833211,Follows Pharmacy Hours of Operation,,POINT (-75.60876 41.469465),41.469465,-75.60876,,No,Pharmacy,Active
Lawrence Township Police Dept.,1215 Hall Street,Hyde,PA,16843,Clearfield,(814)765-1647,,,POINT (-78.465295 40.997687),40.997687,-78.465295,Chief Mark Brooks,Yes,,Active
Walgreens Pharmacy (Butler Location),280 New Castle Rd,Butler,PA,16001,Butler,724–282–9414,,"280 New Castle Rd
Butler, PA 16001
(40.87329, -79.93911)",POINT (-79.939428 40.87332),40.87332,-79.939428,,No,,Active
Somerset Borough Police Dept.,340 West Main Street,Somerset,PA,15501,Somerset,(814)445-4596,M-F 8-4:30,"340 West Main Street
Somerset, PA 15501
(40.00848, -79.08412)",POINT (-79.084107 40.0084661),40.0084661,-79.084107,Chief Randy Cox,Yes,Operational,Active
Brecknock Twp. Police Department,889 Alleghenyville Road,Mohnton,PA,19540,Berks,(717)445-0656,Monday to Friday 9 am – 2 pm,"889 Alleghenyville Road
Mohnton, PA 19540
(40.22136, -75.9716)",POINT (-75.9736639 40.2210285),40.2210285,-75.9736639,Chief John Mintz,No,Operational,Active
Walgreens Pharmacy (Philadelphia - S Broad St),2014 S BROAD ST,Philadelphia,PA,19145,Philadelphia,(215) 551-3818,,"2014 S BROAD ST
Philadelphia, PA 19145
(39.9247, -75.16993)",POINT (-75.170179 39.924799),39.924799,-75.170179,,No,Pharmacy,Active
SHARON PHARMACY,"63 PITT STREET, SUITE 102",SHARON,PA,16146,Mercer,,,"63 PITT STREET, SUITE 102
SHARON, PA 16146
(41.23394, -80.50787)",POINT (-80.50793 41.233938),41.233938,-80.50793,,No,Pharmacy,Active
Hummelstown Borough Police Dept.,136 S. Hanover Street,Hummelstown,PA,17036,Dauphin,(717)566-2555,M-F 8am-4:30pm.,"136 S. Hanover Street
Hummelstown, PA 17036
(40.26275, -76.70804)",POINT (-76.7079259 40.2626257),40.2626257,-76.7079259,Chief Charles Dowell,Yes,Operational,Active
City of Johnstown Police Department,401 Main Street,Johnstown,PA,15901,Cambria,,,"401 Main Street
Johnstown, PA 15901
(40.32593, -78.91967)",POINT (-78.91955 40.326162),40.326162,-78.91955,,No,,Active
Township of Derry Police Dept.,620 Clearwater Road,Hershey,PA,17033,Dauphin,(717)534-2202,24 hours a day/7 days a week,"620 Clearwater Road
Hershey, PA 17033
(40.28333, -76.68205)",POINT (-76.6815236 40.2829567),40.2829567,-76.6815236,"Chief Patrick M. O'Rourke, Sr.",Yes,Operational,Active
CareSite Pharmacy Belleville,"4752 SR 655, Suite A",Belleville,PA,17004,Mifflin,717-935-2341,Monday - Friday: 8:30 a.m. – 5 p.m.,"4752 SR 655, Suite A
Belleville, PA 17004
(40.61571, -77.70091)",POINT (-77.700632 40.615393),40.615393,-77.700632,,No,Pharmacy,Active
Montoursville Police Dept.,617 North Loyalsock Avenue,Montoursville,PA,17754,Lycoming,(570)368-2488,M-F 8-4:30,"617 North Loyalsock Avenue
Montoursville, PA 17754
(41.25751, -76.92197)",POINT (-76.9220663 41.2579235),41.2579235,-76.9220663,Chief Jeffrey T. Gyurina,Yes,Operational,Active
Haverford Police Department,1010 Darby Rd.,Havertown,PA,19083,Delaware,,,"1010 Darby Rd.
Havertown, PA 19083
(39.97613, -75.30308)",POINT (-75.304009 39.975933),39.975933,-75.304009,,No,,Active
WELLSPAN YORK HOSPITAL PHARMACY DEPT,1001 SOUTH GEORGE ST,York,PA,17405,York,,,"1001 SOUTH GEORGE ST
York, PA 17405
(39.94631, -76.7189)",POINT (-76.717463 39.944835),39.944835,-76.717463,,No,Pharmacy,Active
Girard Police Department,34 Main St W,Girard,PA,16417,Erie,(814)774-2651,24 hours a day/ 7 days a week,"34 Main St W
Girard, PA 16417
(42.00075, -80.31716)",POINT (-80.318009 42.001299),42.001299,-80.318009,,No,Operational,Active
Sharon Hill Borough Police Department,250 Sharon Avenue,Sharon Hill,PA,19079,Delaware,,Please contact location,"250 Sharon Avenue
Sharon Hill, PA 19079
(39.90641, -75.27201)",POINT (-75.2723393 39.9066575),39.9066575,-75.2723393,,No,Operational,Active
"CVS PHARMACY, L.L.C. # 02255 (PHILADELPHIA)",2400 ARAMINGO AVENUE,PHILADELPHIA,PA,19125,Philadelphia,,,"2400 ARAMINGO AVENUE
PHILADELPHIA, PA 19125
(39.97538, -75.12098)",POINT (-75.120377 39.976322),39.976322,-75.120377,,No,Pharmacy,Active
North Londonderry Township Police Dept.,655 East Ridge Road,Palymyra,PA,17078-9312,Lebanon,(717)838-5276,,"655 East Ridge Road
Palymyra, PA 17078-9312
(40.32118, -76.59511)",POINT (-76.589638 40.323143),40.323143,-76.589638,Chief Kevin L. Snyder,Yes,,Active
Millbourne Police,11 Park Ave,Millbourne,PA,19082,Delaware,,,"11 Park Ave
Millbourne, PA 19082
(39.96322, -75.25013)",POINT (-75.250056 39.963579),39.963579,-75.250056,,No,,Active
"CVS PHARMACY, L.L.C. # 00658 (WARMINSTER)",7 YORK ROAD,WARMINSTER,PA,18974,Bucks,,,"7 YORK ROAD
WARMINSTER, PA 18974
(40.19035, -75.1026)",POINT (-75.102271 40.190283),40.190283,-75.102271,,Yes,Pharmacy,Active
Abington Township Police Department,1168 Old York Road,Abington,PA,19001,Montgomery,(267)536-1100,M-F 7am-8pm / Sat. 8 am-4 pm,"1168 Old York Road
Abington, PA 19001
(40.11687, -75.12057)",POINT (-75.1206113 40.1168255),40.1168255,-75.1206113,Chief William J Kelly,No,Operational,Active
Upper Chichester Township Police,8400 Furey Rd.,Aston,PA,19014,Delaware,,,"8400 Furey Rd.
Aston, PA 19014
(39.85787, -75.45976)",POINT (-75.459908 39.858028),39.858028,-75.459908,,No,,Active
Penn State University Berks Campus / Perkins Student Center,"Room 114, Luerssen Building",Reading,PA,19610,Berks,(610)396-6111,"Mon - Thurs 7:30am-11pm, Fri 7:30am-10pm, Sat 11am-7pm, Sun 11am-11pm",,POINT (-75.9753516 40.3380072),40.3380072,-75.9753516,Chief Kevin Rudy,No,Operational,Active
St. Mary Medical Center Main Lobby,1201 Langhorne-Newtown Road,Langhorne,PA,19047,Bucks,,,"1201 Langhorne-Newtown Road
Langhorne, PA 19047
(40.2022, -74.92491)",POINT (-74.9249717 40.2022897),40.2022897,-74.9249717,,No,active,Active
California University Public Safety,250 University Avenue,California,PA,15419,Washington,(724)938-4299,M-F 8:30-4:30,"250 University Avenue
California, PA 15419
(40.06597, -79.88654)",POINT (-79.8842588 40.0643283),40.0643283,-79.8842588,Chief Ed McSheffery,Yes,Operational,Active
Morrisville Borough Police,35 Union Street,Morrisville,PA,19067,Bucks,(215)-295-8112,,"35 Union Street
Morrisville, PA 19067
(40.21024, -74.77536)",POINT (-74.775287 40.210121),40.210121,-74.775287,,No,Operational,Active
HEALTH SPECTRUM PHARMACY SERVICES POCONO,"206 E. BROWN ST., 1ST FLOOR",EAST STROUDSBURG,PA,18301,Monroe,,,"206 E. BROWN ST., 1ST FLOOR
EAST STROUDSBURG, PA 18301
(40.99219, -75.17492)",POINT (-75.175317 40.993141),40.993141,-75.175317,,No,Pharmacy,Active
Lehigh University Police Dept.,321 East Packer Avenue,Bethlehem,PA,18015-3109,Northampton,(610)758-4200,unknown,"321 East Packer Avenue
Bethlehem, PA 18015-3109
(40.60852, -75.37366)",POINT (-75.373722 40.608674),40.608674,-75.373722,Chief Edward K. Shupp,Yes,ordered 4-26-16,Active
Cumberland County Courthouse,One Courthouse Square,Carlisle,PA,17013,Cumberland,(717)240-6392,"M-F, 8am-4:30pm","One Courthouse Square
Carlisle, PA 17013
(40.20115, -77.18917)",POINT (-77.1897934 40.2014815),40.2014815,-77.1897934,Sheriff Ronny R. Anderson,Yes,Operational,Active
North Wales Borough Police Dept.,300 School Street,North Wales,PA,19454,Montgomery,(215)699-9279,,"300 School Street
North Wales, PA 19454
(40.21295, -75.27934)",POINT (-75.279224 40.213107),40.213107,-75.279224,Chief Alex Levy,Yes,,Active
Philadelphia Police Dept.-7th Police District,Bustleton & Bowler Streets,Philadelphia,PA,19115,Philadelphia,(215)686-3070,,"Bustleton & Bowler Streets
Philadelphia, PA 19115
(40.09105, -75.03271)",POINT (-75.032691 40.09105),40.09105,-75.032691,Capt. Joseph Zaffino,Yes,Operational,Active
Township of Shaler Police Dept.,300 Wetzel Road,Glenshaw,PA,15116,Allegheny,(412)492-2222,,"300 Wetzel Road
Glenshaw, PA 15116
(40.5239, -79.96984)",POINT (-79.970024 40.524061),40.524061,-79.970024,Chief Bryan Kelly,Yes,,Active
Centerville Borough Police Dept.,100 East End Road,Brownsville,PA,15417,Washington,(724)785-9210,"M-F, 8am-3pm","100 East End Road
Brownsville, PA 15417
(40.02913, -79.91754)",POINT (-79.917639 40.028907),40.028907,-79.917639,Chief Joseph Sekora,Yes,ordered 4-26-16,Active
State Police-Troop D / Butler,200 Barracks Rd.,Butler,PA,16001-2689,Butler,,,"200 Barracks Rd.
Butler, PA 16001-2689
(40.86641, -79.91565)",POINT (-79.915456 40.866653),40.866653,-79.915456,,No,,Active
State Police-Troop R / Dunmore,85 Keystone Industrial Park,Dunmore,PA,18512,Lackawanna,,,"85 Keystone Industrial Park
Dunmore, PA 18512
(41.43493, -75.61462)",POINT (-75.6152 41.435818),41.435818,-75.6152,,No,,Active
CVS #5095,124 ERIE ST.,EDINBORO,PA,16412,"ERIE,PA",8147345207,Follows Pharmacy Hours of Operation,"124 ERIE ST.
EDINBORO, PA 16412
(41.87546, -80.13127)",POINT (-80.131038 41.875403),41.875403,-80.131038,,No,Pharmacy,Active
East Hempfield Township Police Dept.,1700 Nissley Road,Landisville,PA,17538,Lancaster,(717)898-3103,M-F 8-4,"1700 Nissley Road
Landisville, PA 17538
(40.09517, -76.40017)",POINT (-76.396625 40.094147),40.094147,-76.396625,Chief Stephen A. Skiles,Yes,Operational,Active
Frackville Police Dept.,42 S. Center Street,Frackville,PA,17931,Schuylkill,(570)874-0238,,"42 S. Center Street
Frackville, PA 17931
(40.78344, -76.23465)",POINT (-76.234775 40.783122),40.783122,-76.234775,Chief Richard Bell,Yes,,Active
Susquehanna County Court House,105 Maple St,Montrose,PA,18801,Susquehanna,(570) 278-4600,Monday – Friday 8:30am – 4:30pm,"105 Maple St
Montrose, PA 18801
(41.83397, -75.87734)",POINT (-75.87296 41.83198),41.83198,-75.87296,Susquehanna County Sheriff's Office,No,Operational,Active
Aliquippa Police Dept.,300 Franklin Avenue,Aliquippa,PA,15001,Beaver,,,"300 Franklin Avenue
Aliquippa, PA 15001
(40.61766, -80.24603)",POINT (-80.246211 40.617915),40.617915,-80.246211,,No,CVS owned,Active
Westtown-East Goshen Regional Police Dept.,1041 Wilmington Pike,West Chester,PA,19382,Chester,(610)692-9600,M-F 8:30-4:30,"1041 Wilmington Pike
West Chester, PA 19382
(39.93305, -75.58641)",POINT (-75.586193 39.933088),39.933088,-75.586193,Chief Brenda M. Bernot,Yes,Operational,Active
McDonald Police Dept.--Burgettstown Station,1509 Main Street,Burgettstown,PA,15021,Washington,(724)926-2105,24 hours a day/ 7 days a week,"1509 Main Street
Burgettstown, PA 15021
(40.38265, -80.39293)",POINT (-80.3931867 40.3819743),40.3819743,-80.3931867,Chief Mark Dorsey,Yes,Operational,Active
Chalfont Borough Police,40 North Main St.,Chalfont,PA,18914,Bucks,(215) 345-4143,,"40 North Main St.
Chalfont, PA 18914
(40.28679, -75.20895)",POINT (-75.208977 40.286861),40.286861,-75.208977,,No,Operational,Active
"CVS PHARMACY, L.L.C. # 02074 (PHILADELPHIA)",4133 G ST.,PHILADELPHIA,PA,19124,Philadelphia,,,"4133 G ST.
PHILADELPHIA, PA 19124
(40.0118, -75.11169)",POINT (-75.111756 40.011558),40.011558,-75.111756,,No,Pharmacy,Active
Jefferson County Court House,200 Main Street,Brookville,PA,15825,Jefferson,814-849-1613,,"200 Main Street
Brookville, PA 15825
(41.16048, -79.07996)",POINT (-79.079899 41.160801),41.160801,-79.079899,,Yes,Operational,Active
Willistown Township Police Dept.,688 Sugartown Road,Malvern,PA,19355,Chester,(610)251-0222,Unknown,"688 Sugartown Road
Malvern, PA 19355
(40.00131, -75.50972)",POINT (-75.509766 40.001192),40.001192,-75.509766,Det. Sgt. Jeff Heim,Yes,Operational,Active
Mahoning Twp. Police Dept.,2685 Mahoning Drive East,Lehighton,PA,18235,Carbon,(570)386-2241,,"2685 Mahoning Drive East
Lehighton, PA 18235
(40.81212, -75.77236)",POINT (-75.772868 40.811392),40.811392,-75.772868,Chief Audie Mertz,Yes,Operational,Active
Southern Regional Police Department,47 E. High Street,New Freedom,PA,17349,York,(717)235-3944,Open Monday through Friday from 8AM to 4PM,"47 E. High Street
New Freedom, PA 17349
(39.73474, -76.70182)",POINT (-76.7013731 39.7343639),39.7343639,-76.7013731,,No,Operational,Active
Newtown Township Police,100 Municipal Drive,Newtown,PA,18940,Bucks,(215)579-1000 ext. 398,M-F 8:00-4:30,"100 Municipal Drive
Newtown, PA 18940
(40.2559, -74.96133)",POINT (-74.9610191 40.256217),40.256217,-74.9610191,,No,Operational,Active
Saint Francis University Police Department,2299 Manor Drive,Loretto,PA,15940,Cambria,,,"2299 Manor Drive
Loretto, PA 15940
(40.50882, -78.63782)",POINT (-78.637901 40.508564),40.508564,-78.637901,,No,,Active
Doylestown Township Police,425 Wells Road,Doylestown,PA,18901,Bucks,(215)348-4201,M-F 8:00-4:30,"425 Wells Road
Doylestown, PA 18901
(40.28326, -75.13598)",POINT (-75.1359267 40.2829774),40.2829774,-75.1359267,,No,Operational,Active
State Police-Troop C / Clearfield,147 Doe Hill Rd.,Woodland,PA,16881-9781,Clearfield,,,"147 Doe Hill Rd.
Woodland, PA 16881-9781
(41.00969, -78.34548)",POINT (-78.345718 41.009552),41.009552,-78.345718,,No,,Active
CVS #1901,35 N. MAIN ST.,BANGOR,PA,18013,"NORTHAMPTON,PA",6105889425,Follows Pharmacy Hours of Operation,"35 N. MAIN ST.
BANGOR, PA 18013
(40.86733, -75.20418)",POINT (-75.203873 40.867834),40.867834,-75.203873,,No,Pharmacy,Active
"RANN PHARMACY, INC.",377 MAIN ST,HARLEYSVILLE,PA,19438,Montgomery,,,"377 MAIN ST
HARLEYSVILLE, PA 19438
(40.27525, -75.38025)",POINT (-75.380066 40.275423),40.275423,-75.380066,,No,Pharmacy,Active
West Pottsgrove Township Police Dept.,980 Grosstown Road,Stowe,PA,19464,Montgomery,(610)323-2090,unknown,"980 Grosstown Road
Stowe, PA 19464
(40.26089, -75.67578)",POINT (-75.674576 40.260428),40.260428,-75.674576,Chief Matthew Stofflet,Yes,ordered 4-26-16,Active
Altoona Police Dept.,1106 16th Street,Altoona,PA,16601,Blair,8149492491,M-F 7 am -7 pm,"1106 16th Street
Altoona, PA 16601
(40.51333, -78.40583)",POINT (-78.405655 40.513195),40.513195,-78.405655,Chief Janice Freehling,Yes,Operational,Active
Juniata County Courthouse Annex Lobby,30 N. Main St.,Mifflintown,PA,17059,Juniata,,Monday-Friday 8:00am to 4:30pm,"30 N. Main St.
Mifflintown, PA 17059
(40.57082, -77.39706)",POINT (-77.397496 40.570761),40.570761,-77.397496,,No,,Active
Johnsonburg Borough Police Dept.,100 Main Street,Johnsonburg,PA,15845,Elk,(814)965-2816,,"100 Main Street
Johnsonburg, PA 15845
(41.49818, -78.68202)",POINT (-78.682126 41.49823),41.49823,-78.682126,Officer John Clopp,Yes,,Active
Borough of Lehighton Police Dept.,124 South Third Street,Lehighton,PA,18235,Carbon,(610)377-4003,M-F 8:30 - 5:00,"124 South Third Street
Lehighton, PA 18235
(40.83332, -75.71202)",POINT (-75.7120071 40.8328428),40.8328428,-75.7120071,Chief Brian Biechy,No,Operational,Active
Northwest Regional Police Dept.,155 Merts Drive,Elizabethtown,PA,17022,Lancaster,(717)367-8481,M-F 8am-6pm,"155 Merts Drive
Elizabethtown, PA 17022
(40.14459, -76.55963)",POINT (-76.5597385 40.1447857),40.1447857,-76.5597385,Chief Mark Mayberry,Yes,Operational,Active
Penn College Police Dept.,200 College Avenue,Williamsport,PA,17701,Lycoming,(570)321-5555,M-F 8am-4:30pm,"200 College Avenue
Williamsport, PA 17701
(41.23381, -77.02272)",POINT (-77.022798 41.235139),41.235139,-77.022798,Chief Chris Miller,Yes,,Active
City of Monessen Police Dept.,239 Donner Avenue,Monessen,PA,15062,Westmoreland,(724)684-6151,M-F 8:30am-4pm.,"239 Donner Avenue
Monessen, PA 15062
(40.16097, -79.88117)",POINT (-79.8812683 40.1609526),40.1609526,-79.8812683,Chief John Mandarino,Yes,Operational,Active
New Brighton Police Dept.,610 Third Avenue,New Brighton,PA,15066,Beaver,(724)846-2270,,"610 Third Avenue
New Brighton, PA 15066
(40.73683, -80.31598)",POINT (-80.316396 40.736735),40.736735,-80.316396,Chief Ron Walton,Yes,,Active
Vandergrift Police Dept.,109 Grant Avenue,Vandergrift,PA,15690,Westmoreland,(724)568-5507,M-F 8-4,"109 Grant Avenue
Vandergrift, PA 15690
(40.60403, -79.56423)",POINT (-79.564151 40.6042289),40.6042289,-79.564151,Chief Joseph M. Caporali,Yes,Operational,Active
State Police-Troop K / Skippack,2047C Bridge Rd.,Schwenksville,PA,19473,Montgomery,,,"2047C Bridge Rd.
Schwenksville, PA 19473
(40.23176, -75.40337)",POINT (-75.403489 40.231591),40.231591,-75.403489,,No,,Active
Monongahela Police Dept.,451 W. Main Street,Monongahela,PA,15063,Washington,(724)258-5511,no set hours call first,"451 W. Main Street
Monongahela, PA 15063
(40.20393, -79.92795)",POINT (-79.9274432 40.2037153),40.2037153,-79.9274432,Chief Brian Tempest,Yes,Operational,Active
Walter's Pharmacy,401 N 17th Street,Allentown,PA,18104,Lehigh,610-435-4706,Open 9-9 weekdays and 9-5 Saturday,"401 N 17th Street
Allentown, PA 18104
(40.60223, -75.49491)",POINT (-75.494753 40.602749),40.602749,-75.494753,Howard Anthony RPh-owner,No,Operational,Active
State Police-Troop F / Stonington,2465 SR 61,Sunbury,PA,17801,Northumberland,,,"2465 SR 61
Sunbury, PA 17801
(40.85921, -76.693)",POINT (-75.269556 40.774015),40.774015,-75.269556,,No,,Active
TACONY PHARMACY,7100 TORRESDALE AVE,PHILADELPHIA,PA,19135,Philadelphia,,,"7100 TORRESDALE AVE
PHILADELPHIA, PA 19135
(40.02826, -75.03877)",POINT (-75.038903 40.02841),40.02841,-75.038903,,No,Pharmacy,Active
Hamburg Police Department,61 N. Third St.,Hamburg,PA,19526,Berks,(610) 562-7228,,"61 N. Third St.
Hamburg, PA 19526
(40.55608, -75.98384)",POINT (-75.98408 40.556407),40.556407,-75.98408,,Yes,,Active
ORBY PHARMACY INC,"626 WATER STREET, SUITE 3",ORBISONIA,PA,17243,Huntingdon,,,"626 WATER STREET, SUITE 3
ORBISONIA, PA 17243
(40.24043, -77.89182)",POINT (-77.892238 40.240221),40.240221,-77.892238,,No,Pharmacy,Active
Coal Twp. Police Dept.,805 West Lynn Street,Coal Township,PA,17866,Northumberland,(570)644-0333,M-F 8-4,"805 West Lynn Street
Coal Township, PA 17866
(40.78803, -76.5657)",POINT (-76.5653955 40.7882191),40.7882191,-76.5653955,Chief William Carpenter,Yes,Operational,Active
State Police-Troop A / Indiana,4221 Rt 286 Hwy West,Indiana,PA,15701,Indiana,,,"4221 Rt 286 Hwy West
Indiana, PA 15701
(40.59077, -79.20392)",POINT (-79.203679 40.590018),40.590018,-79.203679,,No,,Active
Weis Market (Milton),555 Mahoning St,Milton,PA,17847,Northumberland,(570) 742-9184,7 AM - 9 PM,"555 Mahoning St
Milton, PA 17847
(41.01156, -76.84504)",POINT (-76.844324 41.0120538),41.0120538,-76.844324,,No,active,Active
Cumru Police Department,1775 Welsh Road,Mohnton,PA,19540,Berks,(610) 777-9595,,"1775 Welsh Road
Mohnton, PA 19540
(40.2795, -75.97018)",POINT (-75.971508 40.2801),40.2801,-75.971508,,Yes,,Active
Lebanon City Police Dept.,400 South Eighth Street,Lebanon,PA,17042,Lebanon,(717)272-6611,M-F 7:30-4:30,"400 South Eighth Street
Lebanon, PA 17042
(40.33285, -76.42374)",POINT (-76.4232858 40.3330339),40.3330339,-76.4232858,Chief Daniel Wright,Yes,Operational,Active
CVS #1591,351 S. MAIN ST.,WILKES BARRE,PA,18701,"LUZERNE,PA",5708253215,Follows Pharmacy Hours of Operation,"351 S. MAIN ST.
WILKES BARRE, PA 18701
(41.24045, -75.89248)",POINT (-75.892653 41.240391),41.240391,-75.892653,,No,Pharmacy,Active
